,Date,Latitude,Longitude,Altitude,Ru,Rc,Rl
66,2008-10-28 09:00:00,-90.0,150.0,30.0,0.02,0.02,0.02
67,2008-10-28 09:00:00,-90.0,150.0,2030.0,0.0,0.0,0.0
68,2008-10-28 09:00:00,-90.0,150.0,4030.0,0.0,0.0,0.0
69,2008-10-28 09:00:00,-90.0,150.0,6030.0,0.0,0.0,0.0
70,2008-10-28 09:00:00,-90.0,150.0,8030.0,0.0,0.0,0.0
71,2008-10-28 09:00:00,-90.0,150.0,10030.0,0.0,0.0,0.0
72,2008-10-28 09:00:00,-90.0,180.0,30.0,0.02,0.02,0.02
73,2008-10-28 09:00:00,-90.0,180.0,2030.0,0.0,0.0,0.0
74,2008-10-28 09:00:00,-90.0,180.0,4030.0,0.0,0.0,0.0
75,2008-10-28 09:00:00,-90.0,180.0,6030.0,0.0,0.0,0.0
76,2008-10-28 09:00:00,-90.0,180.0,8030.0,0.0,0.0,0.0
77,2008-10-28 09:00:00,-90.0,180.0,10030.0,0.0,0.0,0.0
78,2008-10-28 09:00:00,-60.0,-180.0,30.0,0.33,0.33,0.33
79,2008-10-28 09:00:00,-60.0,-180.0,2030.0,0.08,0.08,0.08
80,2008-10-28 09:00:00,-60.0,-180.0,4030.0,0.04,0.04,0.04
81,2008-10-28 09:00:00,-60.0,-180.0,6030.0,0.03,0.03,0.03
82,2008-10-28 09:00:00,-60.0,-180.0,8030.0,0.0,0.0,0.0
83,2008-10-28 09:00:00,-60.0,-180.0,10030.0,0.0,0.0,0.0
84,2008-10-28 09:00:00,-60.0,-150.0,30.0,1.21,1.11,1.03
85,2008-10-28 09:00:00,-60.0,-150.0,2030.0,0.6299999999999999,0.5999999999999999,0.56
86,2008-10-28 09:00:00,-60.0,-150.0,4030.0,0.32,0.32,0.32
87,2008-10-28 09:00:00,-60.0,-150.0,6030.0,0.1399999999999999,0.1399999999999999,0.1399999999999999
88,2008-10-28 09:00:00,-60.0,-150.0,8030.0,0.05,0.05,0.05
89,2008-10-28 09:00:00,-60.0,-150.0,10030.0,0.04,0.04,0.04
90,2008-10-28 09:00:00,-60.0,-120.0,30.0,2.22,2.09,2.02
91,2008-10-28 09:00:00,-60.0,-120.0,2030.0,1.26,1.17,1.08
92,2008-10-28 09:00:00,-60.0,-120.0,4030.0,0.77,0.72,0.5999999999999999
93,2008-10-28 09:00:00,-60.0,-120.0,6030.0,0.51,0.5,0.49
94,2008-10-28 09:00:00,-60.0,-120.0,8030.0,0.32,0.32,0.32
95,2008-10-28 09:00:00,-60.0,-120.0,10030.0,0.1799999999999999,0.1799999999999999,0.1799999999999999
96,2008-10-28 09:00:00,-60.0,-90.0,30.0,3.49,3.3000000000000003,3.09
97,2008-10-28 09:00:00,-60.0,-90.0,2030.0,1.67,1.61,1.53
98,2008-10-28 09:00:00,-60.0,-90.0,4030.0,1.1,0.99,0.94
99,2008-10-28 09:00:00,-60.0,-90.0,6030.0,0.74,0.66,0.5999999999999999
100,2008-10-28 09:00:00,-60.0,-90.0,8030.0,0.54,0.52,0.47
101,2008-10-28 09:00:00,-60.0,-90.0,10030.0,0.3599999999999999,0.3599999999999999,0.3599999999999999
102,2008-10-28 09:00:00,-60.0,-60.0,30.0,3.34,3.24,2.88
103,2008-10-28 09:00:00,-60.0,-60.0,2030.0,1.66,1.59,1.53
104,2008-10-28 09:00:00,-60.0,-60.0,4030.0,1.12,0.99,0.91
105,2008-10-28 09:00:00,-60.0,-60.0,6030.0,0.78,0.66,0.6099999999999999
106,2008-10-28 09:00:00,-60.0,-60.0,8030.0,0.5800000000000001,0.5700000000000001,0.48
107,2008-10-28 09:00:00,-60.0,-60.0,10030.0,0.4399999999999999,0.4399999999999999,0.4399999999999999
108,2008-10-28 09:00:00,-60.0,-30.0,30.0,2.42,2.22,2.0700000000000003
109,2008-10-28 09:00:00,-60.0,-30.0,2030.0,1.35,1.2199999999999998,1.15
110,2008-10-28 09:00:00,-60.0,-30.0,4030.0,0.8599999999999999,0.7499999999999999,0.7
111,2008-10-28 09:00:00,-60.0,-30.0,6030.0,0.69,0.58,0.4499999999999999
